order_id,user_id,product_id,amount,currency,status,channel,created_at,paid_at,region,refunded,refund_amount,attribution_campaign
A-10001,U-001,PRO-ANOM,25.00,USD,completed,web,2025-10-20T09:10:00Z,2025-10-20T09:11:00Z,NA,false,0.0,oct-campaign
A-10002,U-002,PRO-ANOM,30.00,USD,completed,web,2025-10-21T10:15:00Z,2025-10-21T10:16:00Z,NA,false,0.0,oct-campaign
A-10003,U-003,PRO-ANOM,22.50,USD,completed,mobile,2025-11-01T11:20:00Z,2025-11-01T11:21:00Z,NA,false,0.0,nov-campaign
A-10004,U-004,PRO-ANOM,28.00,USD,completed,web,2025-11-05T12:30:00Z,2025-11-05T12:31:00Z,NA,false,0.0,nov-campaign
A-10005,U-005,PRO-ANOM,27.00,USD,completed,api,2025-11-08T13:40:00Z,2025-11-08T13:41:00Z,NA,false,0.0,nov-campaign
A-10006,U-010,PRO-XYZ,45.00,USD,completed,web,2025-11-07T09:00:00Z,2025-11-07T09:05:00Z,EU,false,0.0,partner-fall
A-10007,U-011,PRO-XYZ,50.00,USD,completed,mobile,2025-11-08T10:00:00Z,2025-11-08T10:02:00Z,EU,false,0.0,partner-fall
A-10008,U-012,PRO-123,15.00,USD,completed,web,2025-11-09T11:30:00Z,2025-11-09T11:31:00Z,APAC,false,0.0,holiday
A-10009,U-013,PRO-123,14.00,USD,completed,web,2025-11-10T12:30:00Z,2025-11-10T12:31:00Z,APAC,false,0.0,holiday
A-10010,U-020,PRO-ANOM,4999.00,USD,completed,web,2025-11-10T13:00:00Z,2025-11-10T13:01:00Z,NA,false,0.0,flash-sale
A-10011,U-021,PRO-ANOM,5200.00,USD,completed,web,2025-11-10T13:01:00Z,2025-11-10T13:02:00Z,NA,false,0.0,flash-sale
A-10012,U-022,PRO-ANOM,4800.00,USD,completed,mobile,2025-11-10T13:02:00Z,2025-11-10T13:03:00Z,NA,false,0.0,flash-sale
A-10013,U-023,PRO-ANOM,5100.00,USD,completed,api,2025-11-10T13:03:00Z,2025-11-10T13:04:00Z,NA,false,0.0,flash-sale
A-10014,U-024,PRO-ANOM,5050.00,USD,completed,web,2025-11-10T13:04:00Z,2025-11-10T13:05:00Z,NA,false,0.0,flash-sale
A-10015,U-030,PRO-OTHER,60.00,USD,completed,partner,2025-11-11T09:15:00Z,2025-11-11T09:16:00Z,EU,false,0.0,partner-q4
A-10016,U-031,PRO-OTHER,55.00,USD,completed,partner,2025-11-12T10:20:00Z,2025-11-12T10:21:00Z,EU,false,0.0,partner-q4
A-10017,U-040,PRO-ANOM,26.00,USD,completed,web,2025-11-14T15:00:00Z,2025-11-14T15:01:00Z,NA,false,0.0,post-sale
